,id,answer
0,01-0203,A. 4 500 000 đồng
1,01-0206,A. 24 phút
2,01-0207,C. 6 lần
3,01-0209,B. 20%
4,01-0210,A. 3m
5,01-0211,"B. 5,621"
6,01-0214,B. 4%
7,01-0219,D. 7 giờ 77 phút
8,01-0221,"D. 7,5"
9,01-0222,B. 679
10,01-0223,A. 80
11,01-0224,"C. 398,7"
12,01-0225,A. 70
13,01-0227,A. 5 đơn vị
14,01-0232,C. 1500%
15,01-0234,C. \frac{1}{2}
16,01-0237,C. 350
17,01-0239,C. 5019
18,01-0240,"B. 0,2 giờ"
19,01-0241,"D. 0,36992"
20,01-0243,D. 50 000 000
21,01-0245,"B. 35,4"
22,01-0246,"C. 10,05"
23,01-0249,"A. 30,5"
24,01-0254,D. 1 giờ 50 phút
25,01-0256,A. 15 dm^{2}
26,01-0257,"A. 9,42 dm"
27,01-0258,"C. 6,28 cm^{2}"
28,01-0259,A. 1380 dm^{3}
29,01-0264,C. 46%
30,01-0266,"A. 3,76"
31,01-0268,"C. 201,700"
32,01-0269,"A. 0,79"
33,01-0273,C. 30 phút
34,01-0275,"C. 4,3"
35,01-0277,C. 30 phút
36,01-0285,"B. 1,234"
37,01-0292,None
38,01-0294,"A. 3,48"
39,01-0296,None
40,01-0302,D. \frac{1}{8}
41,01-0303,C. 8
42,01-0305,B. 8 cm
43,01-0314,"D. 707,65"
44,01-0315,D. 6dm
45,01-0316,"D. 55,000017"
46,01-0317,A. 150%
47,01-0321,D. \frac{9}{10000}
48,01-0322,C. 480
49,01-0324,A. 25 m^{3}
50,01-0326,D. 60
51,01-0329,D. 5100 m/phút
52,01-0330,None
53,01-0336,A. 10
54,01-0337,"A. 2,83"
55,01-0339,None
56,01-0340,A. 5024 dm^{2}
57,01-0343,D. 6dm
58,01-0346,"D. 55,027"
59,01-0347,C. 80%
60,01-0351,C. 100
61,01-0353,"D. 55,000017"
62,01-0358,None
63,01-0362,"C. 3,5%"
64,01-0364,None
65,01-0373,A. 23
66,01-0375,D. 346
67,01-0376,"B. 4,8 dm^{2}"
68,01-0378,A. 7
69,01-0380,C. 417
70,01-0384,None
71,01-0386,None
72,01-0387,"B. 1527,4"
73,01-0389,A. Chục
74,01-0390,C. 50 000
75,01-0391,"D. 251,165"
76,01-0394,"B. 26,6%"
77,01-0397,"D. 2,06"
78,01-0398,"C. 2,3"
79,01-0401,A. 350 tấn
80,01-0403,None
81,01-0405,None
82,01-0407,None
83,01-0409,None
84,01-0410,None
85,01-0412,None
86,01-0413,B. 9 phần mười
87,01-0420,A. 5
88,01-0422,"B. 8,00"
89,01-0423,D. 11200 kg
90,01-0425,D. 9008
91,01-0429,"C. 8,60"
92,01-0431,"A. 40,392"
93,01-0432,"C. 5,5m^{2}"
94,01-0433,A. 30 000 kg
95,01-0434,"C. 6,027 ha"
96,01-0435,"B. 7,2m^{2}"
97,01-0437,"B. 6,02; 5,7; 5,3; 4,32; 4,23"
98,01-0449,B. 65%
99,01-0454,B. \frac{27}{200}
100,01-0456,A. 2049
101,01-0461,"C. 0,05"
102,01-0463,D. 9cm^{2}
103,01-0464,A. 54
104,01-0471,"D. 3,004"
105,01-0472,D. 60000
106,01-0474,A. 2 \frac{35}{10}
107,01-0476,"C. 3,009"
108,01-0478,A. \frac{6}{5}
109,01-0480,A. 3754
110,01-0483,"B. 5,494; 5,493; 5,392; 5,001"
111,01-0484,C. 83 000
112,01-0486,"D. 3,90"
113,01-0488,B. 204m
114,01-0490,None
115,01-0492,None
116,01-0493,None
117,01-0498,"C. 6,79"
118,01-0499,D. \frac{17}{5}
119,01-0500,A. Hàng chục
120,01-0502,"D. 2,3"
121,01-0510,C. 64%
122,01-0513,None
123,01-0518,C. 15 kg
124,01-0519,"D. 2,28 lần"
125,01-0525,A. 2
126,01-0529,A. 10 ngày
127,01-0536,A. 324 dm^{3}
128,01-0538,"D. 707,65"
129,01-0540,"C. 55, 017"
130,01-0545,D. 3050
131,01-0551,"A. 1,15 phút"
132,01-0552,A. 8cm^{2}
133,01-0554,"C. 6,28 cm"
134,01-0555,"B. 0,032"
135,01-0556,D. 20 000
136,01-0561,"D. 18,608"
137,01-0569,"A. 4,0021m^{3}"
138,01-0572,"B. 4,5%"
139,01-0574,D. 150%
140,01-0575,B. 175
141,01-0576,D. 225 Km/giờ
142,01-0578,C. 17 016
143,01-0585,None
144,01-0589,None
145,01-0590,None
146,01-0591,None
147,01-0595,D. \frac{8}{10000}
148,01-0597,A. 8000m
149,01-0598,C. \frac{6}{5}
150,01-0604,None
151,01-0605,C. 10
152,01-0607,A. 12 hình tam giác
153,01-0609,"A. 3,93"
154,01-0611,"D. 20,003"
155,01-0614,"C. 37,5"
156,01-0616,D. 320%
157,01-0617,A. 306cm^{2}
158,01-0622,C. 7
159,01-0625,"D. 34,006"
160,01-0626,"B. 9,259"
161,01-0630,"C. 8,25"
162,01-0631,C. 110m^{2}
163,01-0637,"A. 0,1"
164,01-0640,D. 7850
165,01-0642,A. \frac{18}{20}
166,01-0643,"D. 1,003"
167,01-0644,"D. 8,00"
168,01-0645,"D. 4,4"
169,01-0649,D. 19%
170,01-0650,C. 6400 đồng
171,01-0652,B. 231
172,01-0653,"C. 69,01"
173,01-0661,D. 157 giờ
174,01-0663,C. 600
175,01-0667,B. 4 km
176,01-0670,C. 100
177,01-0672,"C. 55, 017"
178,01-0678,D. 8
179,01-0683,"C. 120,5"
180,01-0687,A. 9
181,01-0690,"B. 68,007"
182,01-0691,"D. 50,987"
183,01-0694,A. 40%
184,01-0698,D. 45
185,01-0703,"C. 3,75 %"
186,01-0715,"A. 45,62"
187,01-0716,"B. 3,04"
188,01-0717,C. 185 dm^{2}
